PRISM Time Series Data,,,
Location:  Lat: 44.4633   Lon: -83.7214   Elev: 804ft,,,
"Climate variables: tmin,tmean,tmax",,,
Spatial resolution: 4km,,,
Period: 2015-01-01 - 2025-12-03,,,
Dataset: AN91d,,,
PRISM day definition: 24 hours ending at 1200 UTC on the day shown,,,
Grid Cell Interpolation: Off,,,
Time series generated: 2025-Dec-13,,,
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf,,,
Date,tmin (degrees F),tmean (degrees F),tmax (degrees F)
1/1/2015,7.9,16,24.1
1/2/2015,7.2,17.6,27.9
1/3/2015,6.7,16.7,26.6
1/4/2015,22.5,25.9,29.3
1/5/2015,-2.5,13,28.5
1/6/2015,-3.5,2.5,8.5
1/7/2015,-2.3,6.2,14.7
1/8/2015,-3.6,4,11.5
1/9/2015,1.6,7.9,14.3
1/10/2015,-4.5,4.6,13.6
1/11/2015,-1.2,11.1,23.5
1/12/2015,14.9,22.2,29.5
1/13/2015,-5,10.7,26.4
1/14/2015,-15.5,2,19.6
1/15/2015,-12.7,6.3,25.3
1/16/2015,14.2,23.2,32.1
1/17/2015,-2.7,8.6,19.9
1/18/2015,16.5,27.2,37.8
1/19/2015,22.2,29.3,36.4
1/20/2015,8.5,15.8,23.2
1/21/2015,5,14.6,24.1
1/22/2015,0.6,12.8,25
1/23/2015,7.4,18.6,29.9
1/24/2015,20.2,28.1,36.1
1/25/2015,8.1,22.4,36.8
1/26/2015,-2.4,10.2,22.9
1/27/2015,2.8,12.8,22.9
1/28/2015,-1.9,10.9,23.7
1/29/2015,-2.1,13.9,29.9
1/30/2015,6.2,18.1,30
1/31/2015,2.7,10.7,18.8
2/1/2015,8.5,17.5,26.5
2/2/2015,1.4,7.7,14.1
2/3/2015,-4.9,7.6,20.1
2/4/2015,5.5,15.2,25
2/5/2015,-16.3,3.2,22.7
2/6/2015,-11.7,3.8,19.3
2/7/2015,18.4,23.3,28.2
2/8/2015,21.8,25,28.3
2/9/2015,11.4,17.5,23.6
2/10/2015,-7.5,6.8,21
2/11/2015,-3.6,12.6,28.8
2/12/2015,-3.4,12.3,28
2/13/2015,-18.7,-3.4,11.9
2/14/2015,-10.3,3.5,17.3
2/15/2015,-17.2,-5.5,6.3
2/16/2015,-27.1,-9.4,8.3
2/17/2015,0.6,6,11.3
2/18/2015,-0.5,10,20.6
2/19/2015,-8.5,2.5,13.4
2/20/2015,-30.8,-13.9,3
2/21/2015,-30.3,-5.7,19
2/22/2015,3.2,15.6,27.9
2/23/2015,-23.2,-2,19.2
2/24/2015,-23.9,-3.9,16.1
2/25/2015,-12.5,4.7,21.8
2/26/2015,-9.8,3.6,16.9
2/27/2015,-23.5,-3.7,16
2/28/2015,-23.9,-1.2,21.4
3/1/2015,-1.8,11.9,25.7
3/2/2015,8.7,17.6,26.6
3/3/2015,-0.2,14,28.2
3/4/2015,15.7,21.2,26.7
3/5/2015,-11.3,7.1,25.6
3/6/2015,-11.7,4.5,20.8
3/7/2015,-0.4,12.7,25.9
3/8/2015,11.8,22.8,33.9
3/9/2015,15.2,29,42.8
3/10/2015,12.8,30.3,47.8
3/11/2015,19.8,33.9,48
3/12/2015,18.9,33.8,48.7
3/13/2015,21.9,31.2,40.4
3/14/2015,28.1,39,50
3/15/2015,29.5,35.2,40.8
3/16/2015,30.7,40.5,50.4
3/17/2015,27.2,43.2,59.1
3/18/2015,16.6,26.7,36.7
3/19/2015,12.8,26.4,40
3/20/2015,13.6,25.8,37.9
3/21/2015,22.8,36.7,50.6
3/22/2015,9.1,23.3,37.5
3/23/2015,10.6,21.8,33
3/24/2015,9.1,18.5,27.8
3/25/2015,10.2,24.7,39.2
3/26/2015,27,32.9,38.8
3/27/2015,14.4,26.8,39.2
3/28/2015,7.2,14.9,22.6
3/29/2015,9.7,22.8,35.9
3/30/2015,25,33.1,41.3
3/31/2015,24.1,34.2,44.4
4/1/2015,24.7,37.5,50.3
4/2/2015,26.4,41.2,56
4/3/2015,29.5,44.7,59.9
4/4/2015,15.2,29,42.9
4/5/2015,18.2,29,39.8
4/6/2015,22.5,31.1,39.8
4/7/2015,30,37.5,45
4/8/2015,31.9,39,46.1
4/9/2015,32.2,33.4,34.6
4/10/2015,33.4,42.3,51.2
4/11/2015,27.9,37.8,47.6
4/12/2015,26.7,42.4,58
4/13/2015,38.8,53.1,67.4
4/14/2015,28.5,45.8,63.1
4/15/2015,24.4,44.5,64.6
4/16/2015,26.4,42.1,57.8
4/17/2015,33,48.2,63.4
4/18/2015,35.2,53.7,72.1
4/19/2015,29.9,45.9,61.9
4/20/2015,37.4,46.4,55.4
4/21/2015,35.7,45.4,55
4/22/2015,31.5,38.2,44.9
4/23/2015,26,31.3,36.7
4/24/2015,19.4,28.5,37.5
4/25/2015,20.6,35.7,50.8
4/26/2015,24.5,37.3,50
4/27/2015,34.3,44.1,53.9
4/28/2015,32.7,43.2,53.7
