PRISM Time Series Data
Location:  Lat: 42.6509   Lon: -86.1067   Elev: 705ft
"Climate variables: tmin,tmean,tmax"
Spatial resolution: 4km
Period: 2015-01-01 - 2025-12-03
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2025-Dec-06
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,tmin (degrees F),tmean (degrees F),tmax (degrees F)
2015-01-01,15.7,19.8,23.9
2015-01-02,24.5,28.5,32.6
2015-01-03,25.3,29.6,33.9
2015-01-04,28.7,31.3,33.8
2015-01-05,7.6,20.3,32.9
2015-01-06,5.7,8.7,11.6
2015-01-07,8.6,13.5,18.5
2015-01-08,3.9,7.8,11.7
2015-01-09,-0.7,9.0,18.6
2015-01-10,7.4,11.1,14.8
2015-01-11,9.5,16.7,23.8
2015-01-12,23.2,27.7,32.3
2015-01-13,-1.4,12.5,26.4
2015-01-14,-8.1,4.2,16.5
2015-01-15,2.9,12.5,22.1
2015-01-16,18.4,26.6,34.8
2015-01-17,20.5,25.3,30.1
2015-01-18,29.2,36.3,43.4
2015-01-19,31.5,34.2,36.9
2015-01-20,28.7,32.0,35.2
2015-01-21,27.5,29.9,32.3
2015-01-22,26.5,28.5,30.6
2015-01-23,26.6,29.5,32.3
2015-01-24,30.1,31.9,33.7
2015-01-25,30.4,34.4,38.4
2015-01-26,9.7,19.7,29.8
2015-01-27,10.1,17.3,24.5
2015-01-28,12.2,20.2,28.2
2015-01-29,13.5,22.9,32.4
2015-01-30,21.0,27.6,34.1
2015-01-31,17.5,21.3,25.1
2015-02-01,20.9,27.5,34.2
2015-02-02,6.9,14.6,22.2
2015-02-03,4.6,12.4,20.2
2015-02-04,13.9,20.6,27.3
2015-02-05,7.8,16.8,25.7
2015-02-06,8.0,15.2,22.5
2015-02-07,22.1,25.8,29.4
2015-02-08,27.2,34.3,41.4
2015-02-09,18.7,27.5,36.3
2015-02-10,6.8,17.1,27.3
2015-02-11,8.3,18.4,28.5
2015-02-12,15.1,24.4,33.8
2015-02-13,11.3,14.8,18.3
2015-02-14,12.4,19.5,26.6
2015-02-15,-3.5,8.1,19.7
2015-02-16,-4.5,1.3,7.2
2015-02-17,1.2,7.6,14.0
2015-02-18,10.8,15.8,20.8
2015-02-19,0.5,7.3,14.0
2015-02-20,-10.1,-1.5,7.1
2015-02-21,-5.1,6.1,17.3
2015-02-22,17.2,22.3,27.4
2015-02-23,-1.9,9.7,21.3
2015-02-24,-3.7,4.9,13.5
2015-02-25,8.1,18.6,29.2
2015-02-26,6.9,13.7,20.6
2015-02-27,-5.6,4.7,15.1
2015-02-28,-2.7,8.3,19.2
2015-03-01,0.1,10.7,21.2
2015-03-02,12.7,19.8,26.9
2015-03-03,18.8,23.9,29.1
2015-03-04,23.1,28.3,33.6
2015-03-05,5.8,15.9,26.1
2015-03-06,0.9,10.0,19.1
2015-03-07,6.8,16.3,25.7
2015-03-08,21.1,30.6,40.2
2015-03-09,21.8,30.2,38.7
2015-03-10,23.8,34.0,44.3
2015-03-11,28.4,35.9,43.5
2015-03-12,26.9,36.9,46.9
2015-03-13,32.0,40.3,48.6
2015-03-14,34.3,44.3,54.3
2015-03-15,28.2,35.8,43.3
2015-03-16,30.5,41.6,52.7
2015-03-17,34.2,48.7,63.3
2015-03-18,25.0,31.6,38.3
2015-03-19,29.0,35.4,41.9
2015-03-20,29.5,36.1,42.7
2015-03-21,32.9,39.6,46.4
2015-03-22,25.1,34.3,43.6
2015-03-23,24.4,29.9,35.4
2015-03-24,19.6,27.7,35.8
2015-03-25,21.2,33.1,45.0
2015-03-26,34.5,38.1,41.7
2015-03-27,21.2,29.8,38.4
2015-03-28,13.3,20.7,28.1
2015-03-29,16.8,24.5,32.1
2015-03-30,28.5,35.1,41.7
2015-03-31,37.4,44.5,51.5
2015-04-01,29.8,38.9,48.0
2015-04-02,34.6,51.3,68.0
2015-04-03,40.4,50.7,60.9
2015-04-04,24.0,36.0,48.0
2015-04-05,29.8,40.6,51.4
2015-04-06,35.6,46.7,57.8
2015-04-07,38.3,48.6,58.9
2015-04-08,39.8,46.5,53.2
2015-04-09,39.7,43.9,48.1
2015-04-10,39.6,52.7,65.9
2015-04-11,33.8,41.2,48.6
2015-04-12,38.2,47.0,55.9
2015-04-13,46.7,56.7,66.7
2015-04-14,36.9,49.1,61.2
2015-04-15,39.7,51.5,63.3
2015-04-16,44.2,56.0,67.8
2015-04-17,37.9,48.9,59.9
2015-04-18,42.3,56.6,70.9
2015-04-19,46.7,61.0,75.3
2015-04-20,45.1,57.6,70.1
2015-04-21,40.0,45.2,50.3
2015-04-22,35.6,40.5,45.5
2015-04-23,33.1,36.4,39.8
2015-04-24,29.4,37.3,45.2
2015-04-25,35.8,46.1,56.4
2015-04-26,34.0,44.6,55.3
2015-04-27,38.1,47.6,57.1
2015-04-28,33.3,42.2,51.0
2015-04-29,36.0,44.9,53.7
2015-04-30,38.7,49.5,60.2
2015-05-01,38.4,45.6,52.8
2015-05-02,41.0,51.1,61.2
2015-05-03,49.0,59.7,70.4
2015-05-04,55.1,65.6,76.1
2015-05-05,48.6,56.6,64.7
2015-05-06,49.1,51.9,54.8
2015-05-07,52.3,64.0,75.8
2015-05-08,59.7,70.8,81.8
2015-05-09,58.4,67.6,76.8
2015-05-10,50.5,58.0,65.5
2015-05-11,51.5,57.1,62.7
2015-05-12,46.9,57.2,67.5
2015-05-13,39.7,44.9,50.1
2015-05-14,39.8,47.0,54.2
2015-05-15,47.0,55.0,63.0
2015-05-16,54.4,61.6,68.8
2015-05-17,60.6,68.2,75.7
2015-05-18,62.9,71.2,79.4
2015-05-19,45.5,60.2,74.8
2015-05-20,36.4,43.0,49.7
2015-05-21,40.2,47.2,54.2
2015-05-22,44.1,52.2,60.4
2015-05-23,43.6,53.7,63.7
2015-05-24,51.8,63.2,74.5
2015-05-25,61.3,67.3,73.4
2015-05-26,60.4,67.5,74.6
2015-05-27,61.4,70.3,79.2
2015-05-28,52.0,60.6,69.3
2015-05-29,59.2,68.9,78.7
2015-05-30,60.3,70.4,80.5
2015-05-31,47.6,56.9,66.1
2015-06-01,42.8,52.2,61.5
2015-06-02,42.8,54.4,66.0
2015-06-03,47.3,57.8,68.3
2015-06-04,54.6,63.6,72.7
2015-06-05,55.9,66.4,76.9
2015-06-06,54.2,62.0,69.9
2015-06-07,55.3,64.5,73.7
2015-06-08,58.8,66.6,74.5
2015-06-09,51.6,64.0,76.3
2015-06-10,55.5,66.0,76.6
2015-06-11,56.9,68.4,79.9
2015-06-12,60.9,67.8,74.7
2015-06-13,56.6,62.4,68.3
2015-06-14,60.3,69.3,78.3
2015-06-15,63.6,70.1,76.6
2015-06-16,61.3,69.0,76.8
2015-06-17,57.9,65.5,73.1
2015-06-18,59.7,67.5,75.3
2015-06-19,54.5,65.3,76.0
2015-06-20,55.3,64.2,73.1
2015-06-21,61.5,70.0,78.5
2015-06-22,61.9,69.5,77.2
2015-06-23,62.3,71.6,81.0
2015-06-24,54.6,63.2,71.7
2015-06-25,61.6,69.9,78.2
2015-06-26,62.2,68.1,74.0
2015-06-27,60.0,68.2,76.4
2015-06-28,53.5,64.3,75.2
2015-06-29,58.2,66.8,75.4
2015-06-30,59.3,66.9,74.4
2015-07-01,54.7,61.6,68.5
2015-07-02,51.9,57.4,62.8
2015-07-03,52.1,62.5,72.9
2015-07-04,52.5,63.1,73.8
2015-07-05,56.4,66.0,75.6
2015-07-06,61.7,71.5,81.3
2015-07-07,62.0,73.4,84.7
2015-07-08,52.1,59.8,67.5
2015-07-09,55.2,62.2,69.1
2015-07-10,52.2,61.9,71.7
2015-07-11,52.7,64.6,76.6
2015-07-12,64.9,71.7,78.6
2015-07-13,64.5,73.7,82.8
2015-07-14,64.9,72.8,80.6
2015-07-15,57.7,65.4,73.1
2015-07-16,56.2,66.0,75.8
2015-07-17,62.3,68.3,74.2
2015-07-18,66.3,74.9,83.4
2015-07-19,67.7,76.8,86.0
2015-07-20,62.4,70.3,78.2
2015-07-21,62.1,70.4,78.8
2015-07-22,57.4,65.6,73.9
2015-07-23,61.7,70.1,78.4
2015-07-24,60.4,70.2,79.9
2015-07-25,67.0,75.1,83.2
2015-07-26,60.9,70.9,80.9
2015-07-27,63.5,74.6,85.6
2015-07-28,63.8,75.9,87.9
2015-07-29,71.1,80.2,89.2
2015-07-30,69.3,75.9,82.5
2015-07-31,67.0,74.6,82.1
