OBJECTID,FEAT_TYPE_CODE,FEAT_NAME
17,water,Lake Superior
18,water,Lake Huron
20,water,Lake Michigan
22,water,Lake Ontario
25,water,Lake Erie
32,water,Lake Superior
35,water,Lake Superior
37,water,Lake Superior
39,water,Lake Huron
41,water,Lake Huron
45,water,Lake Michigan
47,water,Lake Michigan
49,water,Lake Ontario
55,water,Lake Erie
57,water,Lake Erie
